root,indicative_present_2p_s,indicative_present_1p_s,indicative_present_1p_p,indicative_present_3p_s,indicative_present_3p_p,indicative_preterite_2p_s,indicative_preterite_1p_s,indicative_preterite_1p_p,indicative_preterite_3p_s,indicative_preterite_3p_p,indicative_present_perfect_2p_s,indicative_present_perfect_1p_s,indicative_present_perfect_1p_p,indicative_present_perfect_3p_s,indicative_present_perfect_3p_p,indicative_imperfect_2p_s,indicative_imperfect_1p_s,indicative_imperfect_1p_p,indicative_imperfect_3p_s,indicative_imperfect_3p_p,indicative_future_2p_s,indicative_future_1p_s,indicative_future_1p_p,indicative_future_3p_s,indicative_future_3p_p,indicative_past_perfect_2p_s,indicative_past_perfect_1p_s,indicative_past_perfect_1p_p,indicative_past_perfect_3p_s,indicative_past_perfect_3p_p
sentir,sentes,sento,sentimos,sente,senten,sentiste,sentí,sentimos,sentió,sentieron,has sentido,he sentido,hemos sentido,ha sentido,han sentido,sentías,sentía,sentíamos,sentía,sentían,sentirás,sentiré,sentiremos,sentirá,sentirán,habías sentido,había sentido,habíamos sentido,había sentido,habían sentido
tocar,tocas,toco,tocamos,toca,tocan,tocaste,tocé,tocamos,tocó,tocaron,has tocado,he tocado,hemos tocado,ha tocado,han tocado,tocabas,tocaba,tocábamos,tocaba,tocaban,tocarás,tocaré,tocaremos,tocará,tocarán,habías tocado,había tocado,habíamos tocado,había tocado,habían tocado
leer,lees,leo,leemos,lee,leen,leiste,leí,leimos,leió,leieron,has leído,he leído,hemos leído,ha leído,han leído,leías,leía,leíamos,leía,leían,leerás,leeré,leeremos,leerá,leerán,habías leído,había leído,habíamos leído,había leído,habían leído
enterar,enteras,entero,enteramos,entera,enteran,enteraste,enteré,enteramos,enteró,enteraron,has enterado,he enterado,hemos enterado,ha enterado,han enterado,enterabas,enteraba,enterábamos,enteraba,enteraban,enterarás,enteraré,enteraremos,enterará,enterarán,habías enterado,había enterado,habíamos enterado,había enterado,habían enterado
gastar,gastas,gasto,gastamos,gasta,gastan,gastaste,gasté,gastamos,gastó,gastaron,has gastado,he gastado,hemos gastado,ha gastado,han gastado,gastabas,gastaba,gastábamos,gastaba,gastaban,gastarás,gastaré,gastaremos,gastará,gastarán,habías gastado,había gastado,habíamos gastado,había gastado,habían gastado
interesar,interesas,intereso,interesamos,interesa,interesan,interesaste,interesé,interesamos,interesó,interesaron,has interesado,he interesado,hemos interesado,ha interesado,han interesado,interesabas,interesaba,interesábamos,interesaba,interesaban,interesarás,interesaré,interesaremos,interesará,interesarán,habías interesado,había interesado,habíamos interesado,había interesado,habían interesado
guiar,guias,guio,guiamos,guia,guian,guiaste,guié,guiamos,guió,guiaron,has guiado,he guiado,hemos guiado,ha guiado,han guiado,guiabas,guiaba,guiábamos,guiaba,guiaban,guiarás,guiaré,guiaremos,guiará,guiarán,habías guiado,había guiado,habíamos guiado,había guiado,habían guiado
aconsejar,aconsejas,aconsejo,aconsejamos,aconseja,aconsejan,aconsejaste,aconsejé,aconsejamos,aconsejó,aconsejaron,has aconsejado,he aconsejado,hemos aconsejado,ha aconsejado,han aconsejado,aconsejabas,aconsejaba,aconsejábamos,aconsejaba,aconsejaban,aconsejarás,aconsejaré,aconsejaremos,aconsejará,aconsejarán,habías aconsejado,había aconsejado,habíamos aconsejado,había aconsejado,habían aconsejado
aprender,aprendes,aprendo,aprendemos,aprende,aprenden,aprendiste,aprendí,aprendimos,aprendió,aprendieron,has aprendido,he aprendido,hemos aprendido,ha aprendido,han aprendido,aprendías,aprendía,aprendíamos,aprendía,aprendían,aprenderás,aprenderé,aprenderemos,aprenderá,aprenderán,habías aprendido,había aprendido,habíamos aprendido,había aprendido,habían aprendido
quedar,quedas,quedo,quedamos,queda,quedan,quedaste,quedé,quedamos,quedó,quedaron,has quedado,he quedado,hemos quedado,ha quedado,han quedado,quedabas,quedaba,quedábamos,quedaba,quedaban,quedarás,quedaré,quedaremos,quedará,quedarán,habías quedado,había quedado,habíamos quedado,había quedado,habían quedado
llorar,lloras,lloro,lloramos,llora,lloran,lloraste,lloré,lloramos,lloró,lloraron,has llorado,he llorado,hemos llorado,ha llorado,han llorado,llorabas,lloraba,llorábamos,lloraba,lloraban,llorarás,lloraré,lloraremos,llorará,llorarán,habías llorado,había llorado,habíamos llorado,había llorado,habían llorado
oir,oes,oo,oimos,oe,oen,oiste,oí,oimos,oió,oieron,has oido,he oido,hemos oido,ha oido,han oido,oías,oía,oíamos,oía,oían,oirás,oiré,oiremos,oirá,oirán,habías oido,había oido,habíamos oido,había oido,habían oido
bajar,bajas,bajo,bajamos,baja,bajan,bajaste,bajé,bajamos,bajó,bajaron,has bajado,he bajado,hemos bajado,ha bajado,han bajado,bajabas,bajaba,bajábamos,bajaba,bajaban,bajarás,bajaré,bajaremos,bajará,bajarán,habías bajado,había bajado,habíamos bajado,había bajado,habían bajado
prometir,prometes,prometo,prometimos,promete,prometen,prometiste,prometí,prometimos,prometió,prometieron,has prometido,he prometido,hemos prometido,ha prometido,han prometido,prometías,prometía,prometíamos,prometía,prometían,prometirás,prometiré,prometiremos,prometirá,prometirán,habías prometido,había prometido,habíamos prometido,había prometido,habían prometido
contestar,contestas,contesto,contestamos,contesta,contestan,contestaste,contesté,contestamos,contestó,contestaron,has contestado,he contestado,hemos contestado,ha contestado,han contestado,contestabas,contestaba,contestábamos,contestaba,contestaban,contestarás,contestaré,contestaremos,contestará,contestarán,habías contestado,había contestado,habíamos contestado,había contestado,habían contestado
esperar,esperas,espero,esperamos,espera,esperan,esperaste,esperé,esperamos,esperó,esperaron,has esperado,he esperado,hemos esperado,ha esperado,han esperado,esperabas,esperaba,esperábamos,esperaba,esperaban,esperarás,esperaré,esperaremos,esperará,esperarán,habías esperado,había esperado,habíamos esperado,había esperado,habían esperado
aumentar,aumentas,aumento,aumentamos,aumenta,aumentan,aumentaste,aumenté,aumentamos,aumentó,aumentaron,has aumentado,he aumentado,hemos aumentado,ha aumentado,han aumentado,aumentabas,aumentaba,aumentábamos,aumentaba,aumentaban,aumentarás,aumentaré,aumentaremos,aumentará,aumentarán,habías aumentado,había aumentado,habíamos aumentado,había aumentado,habían aumentado
consultar,consultas,consulto,consultamos,consulta,consultan,consultaste,consulté,consultamos,consultó,consultaron,has consultado,he consultado,hemos consultado,ha consultado,han consultado,consultabas,consultaba,consultábamos,consultaba,consultaban,consultarás,consultaré,consultaremos,consultará,consultarán,habías consultado,había consultado,habíamos consultado,había consultado,habían consultado
decidir,decides,decido,decidimos,decide,deciden,decidiste,decidí,decidimos,decidió,decidieron,has decidido,he decidido,hemos decidido,ha decidido,han decidido,decidías,decidía,decidíamos,decidía,decidían,decidirás,decidiré,decidiremos,decidirá,decidirán,habías decidido,había decidido,habíamos decidido,había decidido,habían decidido
participar,participas,participo,participamos,participa,participan,participaste,participé,participamos,participó,participaron,has participado,he participado,hemos participado,ha participado,han participado,participabas,participaba,participábamos,participaba,participaban,participarás,participaré,participaremos,participará,participarán,habías participado,había participado,habíamos participado,había participado,habían participado
avisar,avisas,aviso,avisamos,avisa,avisan,avisaste,avisé,avisamos,avisó,avisaron,has avisado,he avisado,hemos avisado,ha avisado,han avisado,avisabas,avisaba,avisábamos,avisaba,avisaban,avisarás,avisaré,avisaremos,avisará,avisarán,habías avisado,había avisado,habíamos avisado,había avisado,habían avisado
pasar,pasas,paso,pasamos,pasa,pasan,pasaste,pasé,pasamos,pasó,pasaron,has pasado,he pasado,hemos pasado,ha pasado,han pasado,pasabas,pasaba,pasábamos,pasaba,pasaban,pasarás,pasaré,pasaremos,pasará,pasarán,habías pasado,había pasado,habíamos pasado,había pasado,habían pasado
mirar,miras,miro,miramos,mira,miran,miraste,miré,miramos,miró,miraron,has mirado,he mirado,hemos mirado,ha mirado,han mirado,mirabas,miraba,mirábamos,miraba,miraban,mirarás,miraré,miraremos,mirará,mirarán,habías mirado,había mirado,habíamos mirado,había mirado,habían mirado
odiar,odias,odio,odiamos,odia,odian,odiaste,odié,odiamos,odió,odiaron,has odiado,he odiado,hemos odiado,ha odiado,han odiado,odiabas,odiaba,odiábamos,odiaba,odiaban,odiarás,odiaré,odiaremos,odiará,odiarán,habías odiado,había odiado,habíamos odiado,había odiado,habían odiado
remover,removes,removo,removemos,remove,removen,removiste,removí,removimos,removió,removieron,has removido,he removido,hemos removido,ha removido,han removido,removías,removía,removíamos,removía,removían,removerás,removeré,removeremos,removerá,removerán,habías removido,había removido,habíamos removido,había removido,habían removido
desviar,desvias,desvio,desviamos,desvia,desvian,desviaste,desvié,desviamos,desvió,desviaron,has desviado,he desviado,hemos desviado,ha desviado,han desviado,desviabas,desviaba,desviábamos,desviaba,desviaban,desviarás,desviaré,desviaremos,desviará,desviarán,habías desviado,había desviado,habíamos desviado,había desviado,habían desviado
poder,puedes,puedo,podemos,puede,pueden,pudiste,pude,pudimos,pudo,pudieron,has podido,he podido,hemos podido,ha podido,han podido,podías,podía,podíamos,podía,podían,poderás,poderé,poderemos,poderá,poderán,habías podido,había podido,habíamos podido,había podido,habían podido
dedicar,dedicas,dedico,dedicamos,dedica,dedican,dedicaste,dedicé,dedicamos,dedicó,dedicaron,has dedicado,he dedicado,hemos dedicado,ha dedicado,han dedicado,dedicabas,dedicaba,dedicábamos,dedicaba,dedicaban,dedicarás,dedicaré,dedicaremos,dedicará,dedicarán,habías dedicado,había dedicado,habíamos dedicado,había dedicado,habían dedicado
aguantar,aguantas,aguanto,aguantamos,aguanta,aguantan,aguantaste,aguanté,aguantamos,aguantó,aguantaron,has aguantado,he aguantado,hemos aguantado,ha aguantado,han aguantado,aguantabas,aguantaba,aguantábamos,aguantaba,aguantaban,aguantarás,aguantaré,aguantaremos,aguantará,aguantarán,habías aguantado,había aguantado,habíamos aguantado,había aguantado,habían aguantado
aprobar,aprobas,aprobo,aprobamos,aproba,aproban,aprobaste,aprobé,aprobamos,aprobó,aprobaron,has aprobado,he aprobado,hemos aprobado,ha aprobado,han aprobado,aprobabas,aprobaba,aprobábamos,aprobaba,aprobaban,aprobarás,aprobaré,aprobaremos,aprobará,aprobarán,habías aprobado,había aprobado,habíamos aprobado,había aprobado,habían aprobado
seguir,sigues,sigo,seguimos,sigue,siguen,seguiste,seguí,seguimos,seguió,seguieron,has seguido,he seguido,hemos seguido,ha seguido,han seguido,seguías,seguía,seguíamos,seguía,seguían,seguirás,seguiré,seguiremos,seguirá,seguirán,habías seguido,había seguido,habíamos seguido,había seguido,habían seguido
jurar,juras,juro,juramos,jura,juran,juraste,juré,juramos,juró,juraron,has jurado,he jurado,hemos jurado,ha jurado,han jurado,jurabas,juraba,jurábamos,juraba,juraban,jurarás,juraré,juraremos,jurará,jurarán,habías jurado,había jurado,habíamos jurado,había jurado,habían jurado
pedir,pides,pido,pedimos,pide,piden,pediste,pedí,pedimos,pidió,pidieron,has pedido,he pedido,hemos pedido,ha pedido,han pedido,pedías,pedía,pedíamos,pedía,pedían,pedirás,pediré,pediremos,pedirá,pedirán,habías pedido,había pedido,habíamos pedido,había pedido,habían pedido
perder,perdes,perdo,perdemos,perde,perden,perdiste,perdí,perdimos,perdió,perdieron,has perdido,he perdido,hemos perdido,ha perdido,han perdido,perdías,perdía,perdíamos,perdía,perdían,perderás,perderé,perderemos,perderá,perderán,habías perdido,había perdido,habíamos perdido,había perdido,habían perdido
importar,importas,importo,importamos,importa,importan,importaste,importé,importamos,importó,importaron,has importado,he importado,hemos importado,ha importado,han importado,importabas,importaba,importábamos,importaba,importaban,importarás,importaré,importaremos,importará,importarán,habías importado,había importado,habíamos importado,había importado,habían importado
preguntar,preguntas,pregunto,preguntamos,pregunta,preguntan,preguntaste,pregunté,preguntamos,preguntó,preguntaron,has preguntado,he preguntado,hemos preguntado,ha preguntado,han preguntado,preguntabas,preguntaba,preguntábamos,preguntaba,preguntaban,preguntarás,preguntaré,preguntaremos,preguntará,preguntarán,habías preguntado,había preguntado,habíamos preguntado,había preguntado,habían preguntado
invitar,invitas,invito,invitamos,invita,invitan,invitaste,invité,invitamos,invitó,invitaron,has invitado,he invitado,hemos invitado,ha invitado,han invitado,invitabas,invitaba,invitábamos,invitaba,invitaban,invitarás,invitaré,invitaremos,invitará,invitarán,habías invitado,había invitado,habíamos invitado,había invitado,habían invitado
practicar,practicas,practico,practicamos,practica,practican,practicaste,practiqué,practicamos,practicó,practicaron,has practicado,he practicado,hemos practicado,ha practicado,han practicado,practicabas,practicaba,practicábamos,practicaba,practicaban,practicarás,practicaré,practicaremos,practicará,practicarán,habías practicado,había practicado,habíamos practicado,había practicado,habían practicado
guardar,guardas,guardo,guardamos,guarda,guardan,guardaste,guardé,guardamos,guardó,guardaron,has guardado,he guardado,hemos guardado,ha guardado,han guardado,guardabas,guardaba,guardábamos,guardaba,guardaban,guardarás,guardaré,guardaremos,guardará,guardarán,habías guardado,había guardado,habíamos guardado,había guardado,habían guardado
necesitar,necesitas,necesito,necesitamos,necesita,necesitan,necesitaste,necesité,necesitamos,necesitó,necesitaron,has necesitado,he necesitado,hemos necesitado,ha necesitado,han necesitado,necesitabas,necesitaba,necesitábamos,necesitaba,necesitaban,necesitarás,necesitaré,necesitaremos,necesitará,necesitarán,habías necesitado,había necesitado,habíamos necesitado,había necesitado,habían necesitado
romper,rompes,rompo,rompemos,rompe,rompen,rompiste,rompí,rompimos,rompió,rompieron,has rompido,he rompido,hemos rompido,ha rompido,han rompido,rompías,rompía,rompíamos,rompía,rompían,romperás,romperé,romperemos,romperá,romperán,habías rompido,había rompido,habíamos rompido,había rompido,habían rompido
aceptar,aceptas,acepto,aceptamos,acepta,aceptan,aceptaste,acepté,aceptamos,aceptó,aceptaron,has aceptado,he aceptado,hemos aceptado,ha aceptado,han aceptado,aceptabas,aceptaba,aceptábamos,aceptaba,aceptaban,aceptarás,aceptaré,aceptaremos,aceptará,aceptarán,habías aceptado,había aceptado,habíamos aceptado,había aceptado,habían aceptado
realizar,realizas,realizo,realizamos,realiza,realizan,realizaste,realizé,realizamos,realizó,realizaron,has realizado,he realizado,hemos realizado,ha realizado,han realizado,realizabas,realizaba,realizábamos,realizaba,realizaban,realizarás,realizaré,realizaremos,realizará,realizarán,habías realizado,había realizado,habíamos realizado,había realizado,habían realizado
cambiar,cambias,cambio,cambiamos,cambia,cambian,cambiaste,cambié,cambiamos,cambió,cambiaron,has cambiado,he cambiado,hemos cambiado,ha cambiado,han cambiado,cambiabas,cambiaba,cambiábamos,cambiaba,cambiaban,cambiarás,cambiaré,cambiaremos,cambiará,cambiarán,habías cambiado,había cambiado,habíamos cambiado,había cambiado,habían cambiado
caer,caes,caigo,caemos,cae,caen,caíste,caí,caímos,cayó,cayeron,has caido,he caido,hemos caido,ha caido,han caido,caías,caía,caíamos,caía,caían,caerás,caeré,caeremos,caerá,caerán,habías caido,había caido,habíamos caido,había caido,habían caido
apagar,apagas,apago,apagamos,apaga,apagan,apagaste,apagué,apagamos,apagó,apagaron,has apagado,he apagado,hemos apagado,ha apagado,han apagado,apagabas,apagaba,apagábamos,apagaba,apagaban,apagarás,apagaré,apagaremos,apagará,apagarán,habías apagado,había apagado,habíamos apagado,había apagado,habían apagado
prender,prendes,prendo,prendemos,prende,prenden,prendiste,prendí,prendimos,prendió,prendieron,has prendido,he prendido,hemos prendido,ha prendido,han prendido,prendías,prendía,prendíamos,prendía,prendían,prenderás,prenderé,prenderemos,prenderá,prenderán,habías prendido,había prendido,habíamos prendido,había prendido,habían prendido
cerrar,cierras,cierro,cerramos,cierra,cierran,cerraste,cerré,cerramos,cerró,cerraron,has cerrado,he cerrado,hemos cerrado,ha cerrado,han cerrado,cerrabas,cerraba,cerrábamos,cerraba,cerraban,cerrarás,cerraré,cerraremos,cerrará,cerrarán,habías cerrado,había cerrado,habíamos cerrado,había cerrado,habían cerrado
tirar,tiras,tiro,tiramos,tira,tiran,tiraste,tiré,tiramos,tiró,tiraron,has tirado,he tirado,hemos tirado,ha tirado,han tirado,tirabas,tiraba,tirábamos,tiraba,tiraban,tirarás,tiraré,tiraremos,tirará,tirarán,habías tirado,había tirado,habíamos tirado,había tirado,habían tirado
encender,encendes,encendo,encendemos,encende,encenden,encendiste,encendí,encendimos,encendió,encendieron,has encendido,he encendido,hemos encendido,ha encendido,han encendido,encendías,encendía,encendíamos,encendía,encendían,encenderás,encenderé,encenderemos,encenderá,encenderán,habías encendido,había encendido,habíamos encendido,había encendido,habían encendido
removir,removes,removo,removimos,remove,removen,removiste,removí,removimos,removió,removieron,has removido,he removido,hemos removido,ha removido,han removido,removías,removía,removíamos,removía,removían,removirás,removiré,removiremos,removirá,removirán,habías removido,había removido,habíamos removido,había removido,habían removido
cenar,cenas,ceno,cenamos,cena,cenan,cenaste,cené,cenamos,cenó,cenaron,has cenado,he cenado,hemos cenado,ha cenado,han cenado,cenabas,cenaba,cenábamos,cenaba,cenaban,cenarás,cenaré,cenaremos,cenará,cenarán,habías cenado,había cenado,habíamos cenado,había cenado,habían cenado
duchar,duchas,ducho,duchamos,ducha,duchan,duchaste,duché,duchamos,duchó,ducharon,has duchado,he duchado,hemos duchado,ha duchado,han duchado,duchabas,duchaba,duchábamos,duchaba,duchaban,ducharás,ducharé,ducharemos,duchará,ducharán,habías duchado,había duchado,habíamos duchado,había duchado,habían duchado
entrar,entras,entro,entramos,entra,entran,entraste,entré,entramos,entró,entraron,has entrado,he entrado,hemos entrado,ha entrado,han entrado,entrabas,entraba,entrábamos,entraba,entraban,entrarás,entraré,entraremos,entrará,entrarán,habías entrado,había entrado,habíamos entrado,había entrado,habían entrado
probar,pruebas,pruebo,probamos,prueba,prueban,probaste,probé,probamos,probó,probaron,has probado,he probado,hemos probado,ha probado,han probado,probabas,probaba,probábamos,probaba,probaban,probarás,probaré,probaremos,probará,probarán,habías probado,había probado,habíamos probado,había probado,habían probado
compartir,compartes,comparto,compartimos,comparte,comparten,compartiste,compartí,compartimos,compartió,compartieron,has compartido,he compartido,hemos compartido,ha compartido,han compartido,compartías,compartía,compartíamos,compartía,compartían,compartirás,compartiré,compartiremos,compartirá,compartirán,habías compartido,había compartido,habíamos compartido,había compartido,habían compartido
sacar,sacas,saco,sacamos,saca,sacan,sacaste,sacé,sacamos,sacó,sacaron,has sacado,he sacado,hemos sacado,ha sacado,han sacado,sacabas,sacaba,sacábamos,sacaba,sacaban,sacarás,sacaré,sacaremos,sacará,sacarán,habías sacado,había sacado,habíamos sacado,había sacado,habían sacado
limpiar,limpias,limpio,limpiamos,limpia,limpian,limpiaste,limpié,limpiamos,limpió,limpiaron,has limpiado,he limpiado,hemos limpiado,ha limpiado,han limpiado,limpiabas,limpiaba,limpiábamos,limpiaba,limpiaban,limpiarás,limpiaré,limpiaremos,limpiará,limpiarán,habías limpiado,había limpiado,habíamos limpiado,había limpiado,habían limpiado
instalar,instalas,instalo,instalamos,instala,instalan,instalaste,instalé,instalamos,instaló,instalaron,has instalado,he instalado,hemos instalado,ha instalado,han instalado,instalabas,instalaba,instalábamos,instalaba,instalaban,instalarás,instalaré,instalaremos,instalará,instalarán,habías instalado,había instalado,habíamos instalado,había instalado,habían instalado
reformar,reformas,reformo,reformamos,reforma,reforman,reformaste,reformé,reformamos,reformó,reformaron,has reformado,he reformado,hemos reformado,ha reformado,han reformado,reformabas,reformaba,reformábamos,reformaba,reformaban,reformarás,reformaré,reformaremos,reformará,reformarán,habías reformado,había reformado,habíamos reformado,había reformado,habían reformado
